City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
143,Micheldorf,AT,46.9222,14.4405,64.2,96,41,5.79,scattered clouds
144,Brae,GB,60.3964,-1.353,55.47,99,100,2.89,light rain
145,Japura,ID,-0.3167,102.35,72.5,93,88,2.66,overcast clouds
146,Cockburn Town,TC,21.4612,-71.1419,85.96,62,40,16.11,scattered clouds
147,Mahebourg,MU,-20.4081,57.7,67.24,94,75,11.5,light intensity shower rain
148,Morros,BR,-9.4467,-46.3003,78.26,34,8,3.87,clear sky
149,Filadelfia,US,39.9523,-75.1638,89.85,65,75,11.5,broken clouds
150,Ouesso,CG,1.6136,16.0517,67.87,97,66,2.26,broken clouds
151,Lagoa,PT,39.05,-27.9833,67.28,87,100,12.35,light rain
152,Srikakulam,IN,18.3,83.9,80.13,91,100,5.48,overcast clouds
153,Duvan,RU,55.695,57.9024,49.77,90,57,2.8,broken clouds
154,Oranjestad,AW,12.524,-70.027,84.15,74,40,19.57,scattered clouds
155,Heinola,FI,61.2056,26.0381,68.0,60,100,4.88,overcast clouds
156,La Palma,US,33.8464,-118.0467,99.97,58,0,9.22,clear sky
157,Cape Coast,GH,5.1053,-1.2466,76.24,83,95,10.96,overcast clouds
158,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,68.94,72,54,12.82,moderate rain
159,Tessalit,ML,20.1986,1.0114,96.91,7,1,13.71,clear sky
160,Cruz,BR,-2.9178,-40.1717,76.78,86,6,9.62,clear sky
161,Waddan,LY,29.1614,16.139,88.43,23,0,8.81,clear sky
162,Chapais,CA,49.7834,-74.8492,69.58,58,81,8.43,broken clouds
163,Necochea,AR,-38.5473,-58.7368,52.79,67,100,15.19,light rain
164,Isfana,KG,39.8386,69.5306,63.16,37,0,1.45,clear sky
165,Longyearbyen,SJ,78.2186,15.6401,42.64,93,75,8.05,light intensity drizzle
166,Guiratinga,BR,-16.3494,-53.7583,75.34,33,1,4.38,clear sky
167,Nikel,RU,69.4128,30.222,55.58,68,98,5.95,overcast clouds
168,Charagua,BO,-19.8,-63.2167,85.57,56,0,8.72,clear sky
169,Khorixas,NA,-20.3667,14.9667,63.97,33,0,5.84,clear sky
170,Birin,NP,26.8865,88.0718,63.81,93,97,3.51,overcast clouds
171,Vihti,FI,60.417,24.3197,71.71,71,76,7.0,broken clouds
172,Muritiba,BR,-12.9167,-39.25,65.97,89,1,4.85,clear sky
173,Zhob,PK,31.3411,69.4481,81.99,56,3,1.74,clear sky
174,Takoradi,GH,4.8845,-1.7554,75.31,84,59,9.06,broken clouds
175,Bonavista,CA,48.6499,-53.1147,55.0,95,84,13.58,broken clouds
176,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,75.94,90,38,11.27,scattered clouds
177,Viedma,AR,-40.8135,-62.9967,52.03,49,67,11.3,broken clouds
178,Skjervoy,NO,70.0311,20.9714,62.6,87,0,3.4,clear sky
179,Imatra,FI,61.1719,28.7524,66.58,78,59,3.74,broken clouds
180,Sept-Iles,CA,50.2001,-66.3821,60.06,87,100,8.05,overcast clouds
181,Tugulym,RU,57.0591,64.6425,55.47,79,100,4.56,overcast clouds
182,Victoria,HK,22.2855,114.1577,82.45,85,100,20.0,overcast clouds
183,Matay,EG,28.419,30.7792,83.97,37,0,14.03,clear sky
184,Khorramshahr,IR,30.4397,48.1664,98.56,14,0,16.11,clear sky
185,Khudumelapye,BW,-23.8833,24.75,59.63,41,86,8.84,overcast clouds
186,Zonguldak,TR,41.25,31.8333,58.5,91,0,2.57,clear sky
187,Ziarat,PK,30.3823,67.7282,65.43,79,45,1.83,scattered clouds
188,Kulhudhuffushi,MV,6.6221,73.07,82.6,78,18,20.8,few clouds
189,Konya,TR,38.1667,32.5,62.08,70,2,5.23,clear sky
190,Grand Gaube,MU,-20.0064,57.6608,67.37,72,80,1.01,broken clouds
191,Rawson,AR,-43.3002,-65.1023,43.2,68,98,20.47,overcast clouds
192,Lixourion,GR,38.2019,20.4314,80.6,61,0,9.22,clear sky
193,Kavaratti,IN,10.5669,72.642,82.26,81,100,20.02,overcast clouds
194,Bay Roberts,CA,47.5999,-53.2648,67.75,83,8,5.01,clear sky
195,Hobyo,SO,5.3505,48.5268,77.09,71,67,28.48,broken clouds
196,Zalegoshch,RU,52.9008,36.8869,48.43,84,0,4.18,clear sky
