City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
105,Arraial Do Cabo,BR,2022-06-28 17:39:59,-22.9661,-42.0278,75.16,60,0,23.02
106,Tasiilaq,GL,2022-06-28 17:40:00,65.6145,-37.6368,44.76,66,3,5.3
107,Cockburn Town,TC,2022-06-28 17:40:01,21.4612,-71.1419,85.96,66,40,17.27
108,Jamestown,US,2022-06-28 17:38:09,42.097,-79.2353,70.52,53,75,9.22
109,Margate,GB,2022-06-28 17:40:02,51.3813,1.3862,67.87,52,6,1.99
110,Waingapu,ID,2022-06-28 17:40:03,-9.6567,120.2641,75.36,86,8,10.18
111,Bahia Blanca,AR,2022-06-28 17:36:07,-38.7196,-62.2724,63.1,33,20,15.93
112,Hobyo,SO,2022-06-28 17:40:04,5.3505,48.5268,77.67,77,42,27.45
113,Virden,US,2022-06-28 17:40:05,39.5009,-89.7679,81.09,56,22,4.32
114,Bamako,ML,2022-06-28 17:40:05,12.65,-8.0,84.61,70,20,4.61
115,Galle,LK,2022-06-28 17:40:06,6.0367,80.217,79.5,86,43,13.85
116,Ust-Kuyga,RU,2022-06-28 17:40:07,70.0167,135.6,41.36,61,92,4.54
117,Ladnun,IN,2022-06-28 17:40:07,27.65,74.3833,97.25,38,23,18.88
118,Nhamunda,BR,2022-06-28 17:40:08,-2.1861,-56.7131,91.13,45,26,3.24
119,Sistranda,NO,2022-06-28 17:40:09,63.7256,8.834,53.56,94,100,10.58
120,Bengkulu,ID,2022-06-28 17:40:09,-3.8004,102.2655,73.85,92,47,4.83
121,Praya,CV,2022-06-28 17:40:10,14.9215,-23.5087,81.14,61,20,21.85
122,Vila Velha,BR,2022-06-28 17:40:10,-20.3297,-40.2925,76.95,60,75,9.22
123,Colorado,BR,2022-06-28 17:40:11,-22.8375,-51.9731,79.39,39,14,8.55
124,Khatanga,RU,2022-06-28 17:40:11,71.9667,102.5,51.48,50,5,8.46
125,Butaritari,KI,2022-06-28 17:40:11,3.0707,172.7902,82.06,79,99,14.23
126,Taltal,CL,2022-06-28 17:40:12,-25.4,-70.4833,67.46,57,0,4.92
127,Maningrida,AU,2022-06-28 17:40:12,-12.0667,134.2667,72.97,82,99,13.2
128,Biltine,TD,2022-06-28 17:40:13,14.5333,20.9167,80.78,55,85,19.95
129,Oranjestad,AW,2022-06-28 17:40:13,12.524,-70.027,85.95,66,20,20.71
130,Pucallpa,PE,2022-06-28 17:40:14,-8.3791,-74.5539,86.04,58,40,4.61
131,Saint George,US,2022-06-28 17:40:14,37.1041,-113.5841,100.63,19,0,4.0
132,Osa,RU,2022-06-28 17:40:15,57.2829,55.4567,41.97,81,93,10.65
133,Prince George,CA,2022-06-28 17:35:51,53.9166,-122.753,69.24,60,0,2.3
134,Krutinka,RU,2022-06-28 17:40:15,56.0055,71.5113,51.82,99,100,8.32
135,Hobart,AU,2022-06-28 17:37:08,-42.8794,147.3294,51.06,82,100,4.61
136,Solnechnyy,RU,2022-06-28 17:40:16,50.7214,136.6319,61.0,86,65,3.15
137,Codrington,AU,2022-06-28 17:40:16,-38.2667,141.9667,43.66,68,2,14.56
138,Bathsheba,BB,2022-06-28 17:40:18,13.2167,-59.5167,84.81,74,40,28.77
139,Canaries,ES,2022-06-28 17:40:18,28.0,-15.5,69.76,51,20,25.32
140,Aliwal North,ZA,2022-06-28 17:40:19,-30.6937,26.7114,49.32,38,0,4.36
141,Wadi Maliz,TN,2022-06-28 17:40:19,36.4681,8.5495,83.86,59,14,10.2
142,Mpulungu,ZM,2022-06-28 17:40:20,-8.7623,31.1141,68.95,56,6,13.51
143,Santa Isabel Do Rio Negro,BR,2022-06-28 17:40:20,-0.4139,-65.0192,76.03,91,100,1.81
144,Aranos,NA,2022-06-28 17:40:21,-24.1333,19.1167,50.88,69,7,16.22
145,Wuwei,CN,2022-06-28 17:40:21,37.9281,102.6414,67.87,26,10,0.36
146,Batticaloa,LK,2022-06-28 17:40:21,7.7102,81.6924,81.3,70,51,6.08
147,Airai,TL,2022-06-28 17:40:22,-8.9266,125.4092,58.01,87,90,3.44
148,Kenai,US,2022-06-28 17:40:22,60.5544,-151.2583,58.14,84,0,5.75
149,Chuy,UY,2022-06-28 17:40:23,-33.6971,-53.4616,50.23,88,100,5.88
150,Lavrentiya,RU,2022-06-28 17:40:23,65.5833,-171.0,44.01,95,100,10.71
151,Pelym,RU,2022-06-28 17:40:24,61.0108,61.9978,46.6,91,100,15.37
152,Talcahuano,CL,2022-06-28 17:40:24,-36.7167,-73.1167,55.08,94,100,11.5
153,Tulun,RU,2022-06-28 17:40:25,54.5611,100.5792,60.12,93,100,1.72
154,Sergeyevka,KZ,2022-06-28 17:40:25,53.88,67.4158,49.35,82,91,7.61
155,Wangou,CN,2022-06-28 17:40:26,42.0623,126.9127,66.11,99,100,1.48
156,Lompoc,US,2022-06-28 17:40:26,34.6391,-120.4579,66.61,88,0,5.75
157,Iqaluit,CA,2022-06-28 17:40:27,63.7506,-68.5145,49.73,46,75,17.27
158,Hualmay,PE,2022-06-28 17:40:27,-11.0964,-77.6139,66.61,71,59,7.36
159,Den Helder,NL,2022-06-28 17:40:28,52.9599,4.7593,70.97,43,2,1.14
160,Belmonte,BR,2022-06-28 17:40:28,-15.8631,-38.8828,73.58,62,92,9.33
161,Saskylakh,RU,2022-06-28 17:40:29,71.9167,114.0833,46.98,60,19,7.2
162,Lebu,CL,2022-06-28 17:40:29,-37.6167,-73.65,51.96,92,100,23.33
