City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
626,Natal,BR,82.62,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
628,Ashtian,IR,77.0,clear sky,34.5217,50.0019,Jamiatul Mustafa Al Aalamia Ashtiyan
631,Adre,TD,77.86,overcast clouds,13.4667,22.2,
638,Banfora,BF,77.63,light rain,10.6333,-4.7667,Residences David Hebié
639,Pafos,CY,76.78,few clouds,34.7667,32.4167,Elysium Hotel
644,Iracoubo,GF,78.6,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
646,Shahrud,IR,77.14,clear sky,36.4182,54.9763,Royal Hotel
649,Breves,BR,78.46,broken clouds,-1.6822,-50.4803,Hotel e Restaurante Grill
650,Eslamshahr,IR,83.64,clear sky,35.5605,51.2346,چاپ و تبلیغات روژان گرافیک
651,Praia,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
666,Narragansett,US,85.98,scattered clouds,41.4501,-71.4495,Hampton Inn South Kingstown - Newport Area
667,Escanaba,US,76.51,clear sky,45.7453,-87.0646,Sunset Lodge
668,Mount Pleasant,US,79.99,mist,32.7941,-79.8626,Best Western Patriots Point
674,Ouagadougou,BF,87.93,thunderstorm,12.3642,-1.5383,Pacific Hôtel
682,Kanniyakumari,IN,81.61,overcast clouds,8.0833,77.5667,Sparsa Kanyakumari
